"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Manipulation..Spreadsheet","Random_ID"
"2",1692192708600,"16/08/2023 13:31:48",1692196308600,1,"16/08/2023 15:31:48",140743,17,"task-n9i1",NA,31221173,9254439,NA,"complete",NA,"64dcdc11738dec7846d76850","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x937",NA,NA,0,"Pre-Task Notice",2,"GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",11635.1930000001,11630.908,11635.1930000001,11635.1930000001,11630.908,11635.1930000001,1,11635.1930000001,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF89096"
"3",1692192708602,"16/08/2023 13:31:48",1692196308602,1,"16/08/2023 15:31:48",140743,17,"task-n9i1",NA,31221173,9254439,NA,"complete",NA,"64dcdc11738dec7846d76850","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x937",NA,NA,0,"Pre-Task Notice",2,"GHFIEJDACB","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF89096"
"1",1692447402423,"19/08/2023 12:16:42",1692451002423,1,"19/08/2023 14:16:42",140743,17,"task-n9i1",NA,31255423,9265347,NA,"complete",NA,"64e0bcd5bf3ef3ff724048a9","computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.82","1366x768","1311x649",NA,NA,0,"Pre-Task Notice",2,"BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF88097"
"2",1692447412186,"19/08/2023 12:16:52",1692451012186,1,"19/08/2023 14:16:52",140743,17,"task-n9i1",NA,31255423,9265347,NA,"complete",NA,"64e0bcd5bf3ef3ff724048a9","computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.82","1366x768","1311x649",NA,NA,0,"Pre-Task Notice",2,"BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",9783.08899980926,9775.565,9783.08899980926,9783.08899980926,9775.565,9783.08899980926,1,9783.08899980926,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF88097"
"3",1692447412188,"19/08/2023 12:16:52",1692451012188,1,"19/08/2023 14:16:52",140743,17,"task-n9i1",NA,31255423,9265347,NA,"complete",NA,"64e0bcd5bf3ef3ff724048a9","computer","Desktop or Laptop","Windows 10","Edge 114.0.1823.82","1366x768","1311x649",NA,NA,0,"Pre-Task Notice",2,"BCADJEIFHG","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF88097"
"1",1693056669387,"26/08/2023 13:31:09",1693060269387,1,"26/08/2023 15:31:09",140743,17,"task-n9i1",NA,31376712,9292133,NA,"complete",NA,"64ea0abb4fcce2d50f284df2","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.0","820x1180","820x1073",NA,NA,0,"Pre-Task Notice",2,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF79831"
"2",1693056674364,"26/08/2023 13:31:14",1693060274364,1,"26/08/2023 15:31:14",140743,17,"task-n9i1",NA,31376712,9292133,NA,"complete",NA,"64ea0abb4fcce2d50f284df2","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.0","820x1180","820x1073",NA,NA,0,"Pre-Task Notice",2,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",4972,4955,4972,4972,4955,4972,1,4972,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF79831"
"3",1693056674370,"26/08/2023 13:31:14",1693060274370,1,"26/08/2023 15:31:14",140743,17,"task-n9i1",NA,31376712,9292133,NA,"complete",NA,"64ea0abb4fcce2d50f284df2","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.0","820x1180","820x1073",NA,NA,0,"Pre-Task Notice",2,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","Spreadsheet1",NA,"","","",NA,"5","END",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF79831"
"1",1693225287346,"28/08/2023 12:21:27",1693228887346,1,"28/08/2023 14:21:27",140743,17,"task-n9i1",NA,31390001,9296849,NA,"complete",NA,"64ec9ceab0ce5040c12ad22a","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1517x722",NA,NA,0,"Pre-Task Notice",2,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",NA,"","","",NA,"5","BEGIN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"","",NA,"","",NA,"SUPPRF13138"
"2",1693225290895,"28/08/2023 12:21:30",1693228890895,1,"28/08/2023 14:21:30",140743,17,"task-n9i1",NA,31390001,9296849,NA,"complete",NA,"64ec9ceab0ce5040c12ad22a","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1517x722",NA,NA,0,"Pre-Task Notice",2,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","Spreadsheet1",1,"Screen","Screen 1","xrjwiw",1,"continue","",3567.681,3560.18,3567.681,3567.681,3560.18,3567.681,1,3567.681,0,0,NA,"Click To Continue","Continue Button",2,"object-4","Screen",NA,"SUPPRF13138"
