"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","randomiser.lqqr","randomiser.28m8","randomiser.tf5j","Consent.Form.object.2.I.have.read.and.understood.the.Study.Description.and.hereby.give.my.consent.to.take.part.in.this.experiment.in.full.knowledge.that.data.is.being.recorded...I.Agree.","Consent.Form.object.2.I.have.read.the.information.above.and.understand.I.can.email.the.researchers.with.any.questions...I.Agree.","Consent.Form.object.2.I.consent.to.the.collection.of.the.following.types.of.research.data..Mental.health.questionnaires.and.performance.on.computerised.tasks...I.Agree.","Consent.Form.object.2.I.understand.that.no.identifiable.personal.information.will.be.collected.and.that.my.data.will.be.stored.securely.and.anonymously...I.Agree.","Consent.Form.object.2.I.understand.that.participation.is.completely.voluntary.and.that.I.can.withdraw.at.any.point.without.giving.any.reason.and.without.any.penalty..simply.by.closing.my.browser...I.Agree.","Consent.Form.object.2.I.understand.that.confidentiality.will.be.strictly.adhered.to.and.it.will.not.be.possible.to.identify.me.in.any.publications.or.presentations...I.Agree.","Consent.Form.object.2.I.understand.the.benefits.of.participating..including.the.receipt.of.financial.compensation...I.Agree.","Consent.Form.object.2.I.understand.that.only.fully.anonymised.research.data.from.the.study.will.be.presented..published.or.archived.in.an.open.access.repository..which.might.be.used.for.future.analysis.by.other.researchers.not.connected.with.UCL...I.Agree.","Consent.Form.object.2.I.confirm.that.I.have.a.good.internet.connection...I.Agree.","Consent.Form.object.2.I.consent.to.take.part.in.the.study...I.Agree.","Random_ID"
"1",1692605920772,"21/08/2023 08:18:40",1692609520772,1,"21/08/2023 10:18:40",140743,17,"questionnaire-wco5",NA,31265564,9268854,NA,"complete",NA,"64e32be7ed0d2f797828c1a4","computer","Desktop or Laptop","Mac OS 10.15","Firefox 114.0","1440x900","1440x787",NA,NA,0,"Consent (cloned with scoring)",7,"EFDGCHBIAJ","A (JV first)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF05565"
"1",1693056189438,"26/08/2023 13:23:09",1693059789438,1,"26/08/2023 15:23:09",140743,17,"questionnaire-wco5",NA,31376595,9292133,NA,"complete",NA,"64ea0abb4fcce2d50f284df2","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.0","820x1180","820x1073",NA,NA,0,"Consent (cloned with scoring)",7,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","1","1","1","1","1","1","1","1","1","1","SUPPRF79831"
"1",1693245645384,"28/08/2023 18:00:45",1693249245384,1,"28/08/2023 20:00:45",140743,17,"questionnaire-wco5",NA,31393803,9297799,NA,"complete",NA,"64eceed14556d1516f0479e9","computer","Desktop or Laptop","Windows 10","Firefox 116.0","1920x1080","1920x919",NA,NA,0,"Consent (cloned with scoring)",7,"ABJCIDHEGF","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF20104"
"1",1693224892007,"28/08/2023 12:14:52",1693228492007,1,"28/08/2023 14:14:52",140743,17,"questionnaire-wco5",NA,31389927,9296849,NA,"complete",NA,"64ec9ceab0ce5040c12ad22a","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1517x722",NA,NA,0,"Consent (cloned with scoring)",7,"JAIBHCGDFE","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF13138"
"1",1693068276000,"26/08/2023 16:44:36",1693071876000,1,"26/08/2023 18:44:36",140743,17,"questionnaire-wco5",NA,31377444,9293534,NA,"complete",NA,"64ea39f32f86c94c9af361b5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x720","1280x603",NA,NA,0,"Consent (cloned with scoring)",7,"IJHAGBFCED","B (Feedback ranking_L1 First)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF14738"
"1",1692724849574,"22/08/2023 17:20:49",1692728449574,1,"22/08/2023 19:20:49",140743,17,"questionnaire-wco5",NA,31296627,9275476,NA,"complete",NA,"64e4fc72a6b2df27331b7045","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1440x815",NA,NA,0,"Consent (cloned with scoring)",7,"FGEHDICJBA","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF42249"
"1",1692278449867,"17/08/2023 13:20:49",1692282049867,1,"17/08/2023 15:20:49",140743,17,"questionnaire-wco5",NA,31235912,9258380,NA,"complete",NA,"64de2cb7ebaf7c001ec7e37a","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x963",NA,NA,0,"Consent (cloned with scoring)",7,"JAIBHCGDFE","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF73191"
"1",1692212234779,"16/08/2023 18:57:14",1692215834779,1,"16/08/2023 20:57:14",140743,17,"questionnaire-wco5",NA,31224702,9255609,NA,"complete",NA,"64dd297fdd1a9cc9afa673f8","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x963",NA,NA,0,"Consent (cloned with scoring)",7,"IJHAGBFCED","A (JV first)","study_1 (JV and feedback_list_1)","","1","1","1","1","1","1","1","1","1","1","SUPPRF36650"
"1",1692196596499,"16/08/2023 14:36:36",1692200196499,1,"16/08/2023 16:36:36",140743,17,"questionnaire-wco5",NA,31222054,9254717,NA,"complete",NA,"64dcecf2571803aaf952ef5f","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x657",NA,NA,0,"Consent (cloned with scoring)",7,"HIGJFAEBDC","","study_2 (video_feedback and feedback_list_2)","Feedback_ranking_L2_first","1","1","1","1","1","1","1","1","1","1","SUPPRF01588"
"1",1692190744535,"16/08/2023 12:59:04",1692194344535,1,"16/08/2023 14:59:04",140743,17,"questionnaire-wco5",NA,31220588,9254288,NA,"complete",NA,"64dcd5b8efb53854496a7580","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1463x915","1335x753",NA,NA,0,"Consent (cloned with scoring)",7,"FGEHDICJBA","","study_2 (video_feedback and feedback_list_2)","VF_1st","1","1","1","1","1","1","1","1","1","1","SUPPRF02309"
