"Trial.Number","Random_ID","Response_H","Response_Ax","Response_fdbk","Response_SubjPE","Response_PE","Response_certainty","Response_m_hist","Response_pred","mini_SPIN_total","Social_Anxiety"
33,"SUPPRF35199",63,58,29,-11,0,49,29,40,7,"high"
34,"SUPPRF35199",57,59,15,-13,-14,51,29,28,7,"high"
35,"SUPPRF35199",62,65,54,10,0,55,54,44,7,"high"
36,"SUPPRF35199",55,55,67,4,-13,64,80,63,7,"high"
37,"SUPPRF35199",59,59,16,-39,-13,38,29,55,7,"high"
38,"SUPPRF35199",62,64,68,-3,-12,65,80,71,7,"high"
39,"SUPPRF35199",60,59,38,-13,-16,53,54,51,7,"high"
40,"SUPPRF35199",59,58,41,-6,-13,53,54,47,7,"high"
41,"SUPPRF35199",62,59,38,-1,1,53,37,39,7,"high"
42,"SUPPRF35199",60,59,24,-20,-13,59,37,44,7,"high"
43,"SUPPRF35199",57,61,75,31,29,56,46,44,7,"high"
44,"SUPPRF35199",59,58,55,9,1,60,54,46,7,"high"
45,"SUPPRF35199",58,61,47,10,27,62,20,37,7,"high"
46,"SUPPRF35199",62,58,55,-11,-16,61,71,66,7,"high"
47,"SUPPRF35199",63,59,78,34,24,61,54,44,7,"high"
48,"SUPPRF35199",62,60,49,3,12,61,37,46,7,"high"
1,"SUPPRF45434",65,80,49,-12,12,62,37,61,4,"low"
2,"SUPPRF45434",95,93,83,8,12,64,71,75,4,"low"
3,"SUPPRF45434",95,96,66,0,12,62,54,66,4,"low"
4,"SUPPRF45434",93,91,68,-22,-12,75,80,90,4,"low"
5,"SUPPRF45434",78,83,54,-4,0,61,54,58,4,"low"
6,"SUPPRF45434",83,84,58,-11,29,62,29,69,4,"low"
7,"SUPPRF45434",73,72,35,-21,15,70,20,56,4,"low"
8,"SUPPRF45434",71,72,38,-19,1,58,37,57,4,"low"
9,"SUPPRF45434",66,83,55,2,-16,70,71,53,4,"low"
10,"SUPPRF45434",63,68,41,-29,-13,63,54,70,4,"low"
11,"SUPPRF45434",63,78,8,-34,-12,77,20,42,4,"low"
12,"SUPPRF45434",73,77,20,-17,0,60,20,37,4,"low"
13,"SUPPRF45434",65,67,55,-3,1,62,54,58,4,"low"
14,"SUPPRF45434",64,75,77,11,14,59,63,66,4,"low"
15,"SUPPRF45434",67,82,24,-31,-13,89,37,55,4,"low"
16,"SUPPRF45434",55,70,50,-15,-13,66,63,65,4,"low"
17,"SUPPRF45434",80,66,58,2,12,65,46,56,4,"low"
18,"SUPPRF45434",61,60,46,11,17,45,29,35,4,"low"
19,"SUPPRF45434",73,69,56,-8,-15,59,71,64,4,"low"
20,"SUPPRF45434",66,75,28,-26,-1,58,29,54,4,"low"
21,"SUPPRF45434",60,87,38,-25,-16,61,54,63,4,"low"
22,"SUPPRF45434",77,71,75,1,29,73,46,74,4,"low"
23,"SUPPRF45434",69,76,15,-60,-14,86,29,75,4,"low"
24,"SUPPRF45434",78,71,45,-18,-1,71,46,63,4,"low"
25,"SUPPRF45434",76,73,47,-31,-16,69,63,78,4,"low"
26,"SUPPRF45434",75,71,22,-42,-15,68,37,64,4,"low"
27,"SUPPRF45434",73,77,16,-69,-13,79,29,85,4,"low"
28,"SUPPRF45434",74,62,47,-14,27,59,20,61,4,"low"
29,"SUPPRF45434",71,63,61,-4,24,64,37,65,4,"low"
30,"SUPPRF45434",85,74,6,-54,-14,59,20,60,4,"low"
31,"SUPPRF45434",71,62,46,-19,0,64,46,65,4,"low"
32,"SUPPRF45434",79,68,29,-51,0,71,29,80,4,"low"
33,"SUPPRF45434",68,68,34,-19,-12,68,46,53,4,"low"
34,"SUPPRF45434",76,73,67,6,-13,63,80,61,4,"low"
35,"SUPPRF45434",100,88,80,21,0,61,80,59,4,"low"
36,"SUPPRF45434",81,86,88,31,25,71,63,57,4,"low"
37,"SUPPRF45434",75,80,62,-2,-1,69,63,64,4,"low"
38,"SUPPRF45434",82,72,70,9,-1,67,71,61,4,"low"
39,"SUPPRF45434",70,64,19,-43,-1,52,20,62,4,"low"
40,"SUPPRF45434",67,71,71,-6,0,73,71,77,4,"low"
41,"SUPPRF45434",68,74,37,-27,0,65,37,64,4,"low"
42,"SUPPRF45434",100,100,94,43,23,66,71,51,4,"low"
43,"SUPPRF45434",100,100,100,35,20,67,80,65,4,"low"
44,"SUPPRF45434",100,100,81,-2,1,100,80,83,4,"low"
45,"SUPPRF45434",72,86,63,-2,0,61,63,65,4,"low"
46,"SUPPRF45434",80,76,78,22,24,55,54,56,4,"low"
47,"SUPPRF45434",83,82,33,-21,-13,68,46,54,4,"low"
48,"SUPPRF45434",100,100,96,20,16,100,80,76,4,"low"
1,"SUPPRF83664",77,69,71,-7,0,72,71,78,5,"low"
2,"SUPPRF83664",80,78,83,6,12,78,71,77,5,"low"
3,"SUPPRF83664",76,76,54,-6,0,65,54,60,5,"low"
4,"SUPPRF83664",67,69,6,-19,-14,79,20,25,5,"low"
5,"SUPPRF83664",70,74,78,21,24,67,54,57,5,"low"
6,"SUPPRF83664",77,67,41,-18,-13,71,54,59,5,"low"
7,"SUPPRF83664",74,81,68,21,-12,4,80,47,5,"low"
8,"SUPPRF83664",88,78,80,11,0,68,80,69,5,"low"
9,"SUPPRF83664",61,73,47,-15,-16,77,63,62,5,"low"
10,"SUPPRF83664",77,82,29,-1,0,69,29,30,5,"low"
11,"SUPPRF83664",87,73,38,5,-16,24,54,33,5,"low"
12,"SUPPRF83664",81,70,15,-14,-14,73,29,29,5,"low"
13,"SUPPRF83664",85,75,63,13,0,68,63,50,5,"low"
14,"SUPPRF83664",88,77,70,0,-1,79,71,70,5,"low"
15,"SUPPRF83664",61,76,22,-32,-15,19,37,54,5,"low"
16,"SUPPRF83664",80,78,96,57,16,10,80,39,5,"low"
17,"SUPPRF83664",78,82,56,0,-15,19,71,56,5,"low"
18,"SUPPRF83664",80,87,77,17,14,76,63,60,5,"low"
19,"SUPPRF83664",79,85,75,0,29,78,46,75,5,"low"
20,"SUPPRF83664",63,80,50,-20,-13,75,63,70,5,"low"
21,"SUPPRF83664",51,74,20,-16,0,15,20,36,5,"low"
22,"SUPPRF83664",79,82,35,12,15,70,20,23,5,"low"
23,"SUPPRF83664",81,74,33,-17,-13,63,46,50,5,"low"
24,"SUPPRF83664",63,64,34,-21,-12,72,46,55,5,"low"
25,"SUPPRF83664",81,68,49,21,12,36,37,28,5,"low"
26,"SUPPRF83664",75,72,58,20,29,35,29,38,5,"low"
27,"SUPPRF83664",65,75,46,-6,0,78,46,52,5,"low"
