"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"48","AWAITING REVIEW","2023-12-14T03:54:29.735000Z","2023-12-14T04:32:21.768000Z",NA,"2023-12-14T04:32:22.241120Z",2273,"C6UC3A24",674,"English","No","23","Male","White","United States","United States","United States","English","No","DATA_EXPIRED","SUPPRF98911"
"49","AWAITING REVIEW","2023-12-14T05:05:10.313000Z","2023-12-14T05:49:10.007000Z",NA,"2023-12-14T05:49:10.462932Z",2640,"C6UC3A24",111,"English","No","24","Female","Mixed","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)","SUPPRF70931"
"50","AWAITING REVIEW","2023-12-14T05:18:31.840000Z","2023-12-14T05:53:34.394000Z",NA,"2023-12-14T05:53:34.854446Z",2103,"C6UC3A24",1119,"English, Spanish","No","21","Female","White","United States","United States","United States","English","Yes","Part-Time","SUPPRF32911"
"51","AWAITING REVIEW","2023-12-14T05:53:28.935000Z","2023-12-14T07:04:55.011000Z",NA,"2023-12-14T07:04:55.646952Z",4287,"C6UC3A24",966,"English, Spanish","No","22","Male","Other","United States","United States","United States","Spanish","Yes","Full-Time","SUPPRF96230"
"52","AWAITING REVIEW","2023-12-14T07:01:00.177000Z","2023-12-14T08:02:32.448000Z",NA,"2023-12-14T08:02:33.207356Z",3693,"C6UC3A24",93,"English, French, German","No","24","Female","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time","SUPPRF16834"
"53","AWAITING REVIEW","2023-12-14T07:20:06.136000Z","2023-12-14T07:59:35.864000Z",NA,"2023-12-14T07:59:36.316706Z",2370,"C6UC3A24",240,"English","No","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF24527"
"54","AWAITING REVIEW","2023-12-14T08:16:15.337000Z","2023-12-14T09:01:12.544000Z",NA,"2023-12-14T09:01:12.990244Z",2698,"C6UC3A24",209,"English","No","24","Female","White","United States","United States","United States","English","Yes","Part-Time","SUPPRF01609"
"55","AWAITING REVIEW","2023-12-14T09:03:53.771000Z","2023-12-14T10:34:19.482000Z",NA,"2023-12-14T10:34:20.110940Z",5426,"C6UC3A24",74,"English, French","No","23","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time","SUPPRF89484"
"56","AWAITING REVIEW","2023-12-14T09:31:42.780000Z","2023-12-14T10:15:55.420000Z",NA,"2023-12-14T10:15:55.922758Z",2653,"C6UC3A24",125,"English, Turkish","No","21","Female","White","Turkey","United Kingdom","Turkey","Turkish","Yes","Part-Time","SUPPRF73458"
"57","AWAITING REVIEW","2023-12-14T09:39:41.504000Z","2023-12-14T10:20:26.024000Z",NA,"2023-12-14T10:20:26.448328Z",2445,"C6UC3A24",61,"English","No","23","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","SUPPRF97977"
"58","AWAITING REVIEW","2023-12-14T09:49:26.290000Z","2023-12-14T10:29:47.582000Z",NA,"2023-12-14T10:29:48.648452Z",2422,"C6UC3A24",78,"English","No","25","Female","Asian","France","United Kingdom","France","English","No","Part-Time","SUPPRF28854"
"59","AWAITING REVIEW","2023-12-14T09:52:05.571000Z","2023-12-14T11:09:18.985000Z",NA,"2023-12-14T11:09:20.228151Z",4634,"C6UC3A24",31,"Chinese, English","No","23","Male","Asian","China","United Kingdom","China","Chinese","Yes","Unemployed (and job seeking)","SUPPRF21062"
"60","AWAITING REVIEW","2023-12-14T09:56:34.724000Z","2023-12-14T10:39:13.811000Z",NA,"2023-12-14T10:39:14.421252Z",2560,"C6UC3A24",192,"English","No","20","Male","White","Georgia","United States","United States","English","Yes","Unemployed (and job seeking)","SUPPRF45504"
