"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","counterbalance.af8t","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people.","Rating.Scale.object.2.Fear.of.embarrassment.causes.me.to.avoid.doing.things.or.speaking.to.people..Quantised","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention.","Rating.Scale.object.2.I.avoid.activities.in.which.I.am.the.center.of.attention..Quantised","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears.","Rating.Scale.object.2.Being.embarrassed.or.looking.stupid.are.among.my.worst.fears..Quantised","Score..SPINScore","Random_ID"
"1",1702510112288,"13/12/2023 23:28:32",1702484912288,-7,"13/12/2023 09:28:32",157047,5,"questionnaire-4h2a",NA,33654516,9959904,NA,"complete",NA,"657a3543667a958c02aae7c4","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1279x662",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","Self_focused_attention_first","2","3","1","2","1","2","4","SUPPRF02996"
"1",1702510965078,"13/12/2023 23:42:45",1702489365078,-6,"13/12/2023 11:42:45",157047,5,"questionnaire-4h2a",NA,33654582,9959910,NA,"complete",NA,"657a3c799adf5e76b76fc101","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x585",NA,NA,0,"Mini-SPIN",2,"CDBEAFJGIH","Passed AC2","","External_attention_first","0","1","0","1","0","1","0","SUPPRF41927"
"1",1702525776403,"14/12/2023 03:49:36",1702507776403,-5,"13/12/2023 17:49:36",157047,5,"questionnaire-4h2a",NA,33655654,9960310,NA,"complete",NA,"657a780fc43f17b07e1d3685","computer","Desktop or Laptop","Linux x86_64","Chrome 119.0.0.0","1494x935","1494x800",NA,NA,0,"Mini-SPIN",2,"EFDGCHBIAJ","Passed AC2","","Self_focused_attention_first","3","4","4","5","4","5","11","SUPPRF40441"
"1",1702526093291,"14/12/2023 03:54:53",1702497293291,-8,"13/12/2023 11:54:53",157047,5,"questionnaire-4h2a",NA,33655675,9960316,NA,"complete",NA,"657a793241c407c8885ee251","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x945",NA,NA,0,"Mini-SPIN",2,"FGEHDICJBA","Passed AC2","","External_attention_first","2","3","3","4","3","4","8","SUPPRF87722"
"1",1702526353699,"14/12/2023 03:59:13",1702508353699,-5,"13/12/2023 17:59:13",157047,5,"questionnaire-4h2a",NA,33655711,9960323,NA,"complete",NA,"657a7c726d29df341138a367","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x786",NA,NA,0,"Mini-SPIN",2,"GHFIEJDACB","Passed AC2","","Self_focused_attention_first","3","4","1","2","4","5","8","SUPPRF98911"
"1",1702530620981,"14/12/2023 05:10:20",1702509020981,-6,"13/12/2023 17:10:20",157047,5,"questionnaire-4h2a",NA,33655927,9960379,NA,"complete",NA,"657a8bbd206c41ca50e61220","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1366x768","1366x651",NA,NA,0,"Mini-SPIN",2,"HIGJFAEBDC","Passed AC2","","External_attention_first","0","1","0","1","0","1","0","SUPPRF70931"
"1",1702531251706,"14/12/2023 05:20:51",1702502451706,-8,"13/12/2023 13:20:51",157047,5,"questionnaire-4h2a",NA,33655955,9960387,NA,"complete",NA,"657a9023d24232e14b20171c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x779",NA,NA,0,"Mini-SPIN",2,"IJHAGBFCED","Passed AC2","","Self_focused_attention_first","2","3","2","3","2","3","6","SUPPRF32911"
"1",1702533361927,"14/12/2023 05:56:01",1702508161927,-7,"13/12/2023 15:56:01",157047,5,"questionnaire-4h2a",NA,33656059,9960412,NA,"complete",NA,"657a9854a880780f5ec4fe87","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1920x1080","1920x919",NA,NA,0,"Mini-SPIN",2,"JAIBHCGDFE","Passed AC2","","Self_focused_attention_first","1","2","2","3","1","2","4","SUPPRF96230"
"1",1702537779918,"14/12/2023 07:09:39",1702541379918,1,"14/12/2023 09:09:39",157047,5,"questionnaire-4h2a",NA,33656330,9960463,NA,"complete",NA,"657aa8195455bc6917dab1ab","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1280x720","1280x593",NA,NA,0,"Mini-SPIN",2,"ABJCIDHEGF","Passed AC2","","External_attention_first","3","4","0","1","3","4","6","SUPPRF16834"
"1",1702538805178,"14/12/2023 07:26:45",1702538805178,0,"14/12/2023 07:26:45",157047,5,"questionnaire-4h2a",NA,33656410,9960477,NA,"complete",NA,"657aab45bb586490994f3864","computer","Desktop or Laptop","Windows 10","Chrome 120.0.0.0","1536x864","1536x695",NA,NA,0,"Mini-SPIN",2,"BCADJEIFHG","Passed AC2","","Self_focused_attention_first","0","1","0","1","1","2","1","SUPPRF24527"
