"Trial.Number","Random_ID","Mood","Anxiety","fdbk","SubjPE","PE","Certainty_Rating","m_hist","Prediction","pilot_nr","pilot_details"
44,"SUPPRF32902",94,11,66,-9,12,5,54,75,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF32902",87,14,55,30,1,13,54,25,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF32902",97,3,70,48,-1,9,71,22,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF32902",89,12,77,-5,14,6,63,82,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF32902",97,1,56,17,-15,99,71,39,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF94776",62,18,54,6,0,36,54,48,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF94776",60,8,47,3,27,51,20,44,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF94776",52,8,24,-32,-13,38,37,56,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF94776",47,6,94,21,23,82,71,73,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF94776",62,8,35,17,15,70,20,18,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF94776",48,7,67,-12,-13,58,80,79,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF94776",68,8,77,14,14,43,63,63,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF94776",50,5,70,4,-1,50,71,66,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF94776",67,6,75,36,29,35,46,39,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF94776",66,4,96,46,16,63,80,50,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF94776",50,7,41,4,-13,58,54,37,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF94776",51,5,38,-11,-16,34,54,49,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF94776",59,6,49,23,12,57,37,26,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF94776",75,4,19,0,-1,80,20,19,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF94776",50,6,8,-64,-12,9,20,72,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF94776",51,6,38,-2,1,71,37,40,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF94776",64,5,58,44,12,7,46,14,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF94776",51,7,22,-12,-15,30,37,34,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF94776",67,6,46,34,17,86,29,12,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF94776",78,73,80,7,0,73,80,73,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF94776",66,8,55,4,-16,21,71,51,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF94776",68,7,55,20,1,63,54,35,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF94776",51,6,45,7,-1,29,46,38,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF94776",49,5,47,-25,-16,12,63,72,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF94776",50,6,16,-11,-13,13,29,27,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF94776",77,6,100,87,20,58,80,13,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF94776",50,5,56,-25,-15,59,71,81,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF94776",58,4,46,-2,0,34,46,48,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF94776",59,4,71,16,0,29,71,55,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF94776",59,6,68,9,-12,19,80,59,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF94776",49,6,33,-14,-13,30,46,47,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF94776",51,51,37,20,0,17,37,17,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF94776",50,49,28,-5,-1,56,29,33,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF94776",52,5,6,-34,-14,55,20,40,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF94776",50,5,50,5,-13,20,63,45,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF94776",58,10,66,13,12,41,54,53,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF94776",62,7,61,12,24,37,37,49,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF94776",70,5,78,42,24,65,54,36,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF94776",48,5,58,36,29,85,29,22,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF94776",52,5,81,16,1,57,80,65,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF94776",54,9,20,13,0,74,20,7,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF94776",68,4,88,38,25,10,63,50,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF94776",52,4,83,8,12,46,71,75,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF94776",50,6,63,17,0,29,63,46,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF94776",55,5,62,1,-1,50,63,61,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF94776",50,9,29,10,0,40,29,19,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF94776",51,32,34,-16,-12,0,46,50,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF94776",50,6,15,2,-14,55,29,13,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF72685",63,14,58,11,29,54,29,47,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF72685",65,12,47,-5,27,84,20,52,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF72685",84,7,96,50,16,26,80,46,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF72685",83,2,46,-12,0,59,46,58,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF72685",85,5,78,17,24,11,54,61,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF72685",89,9,54,-5,0,48,54,59,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF72685",76,1,70,31,-1,7,71,39,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF72685",57,1,41,-8,-13,28,54,49,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF72685",51,58,38,-15,1,29,37,53,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF72685",90,4,16,-34,-13,0,29,50,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF72685",90,3,38,17,-16,58,54,21,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF72685",91,1,19,10,-1,7,20,9,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF72685",93,3,77,18,14,41,63,59,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF72685",95,3,81,2,1,51,80,79,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF72685",93,1,49,31,12,25,37,18,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF72685",83,1,100,42,20,50,80,58,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF72685",94,3,15,-25,-14,51,29,40,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF72685",85,2,61,12,24,28,37,49,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF72685",94,5,66,13,12,47,54,53,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF72685",92,2,29,5,0,22,29,24,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF72685",1,2,24,-66,-13,86,37,90,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF72685",52,3,28,-25,-1,3,29,53,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF72685",94,1,22,-33,-15,58,37,55,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF72685",95,2,8,-16,-12,85,20,24,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF72685",94,1,35,-15,15,9,20,50,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF72685",77,2,56,13,-15,29,71,43,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF72685",88,4,45,7,-1,25,46,38,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF72685",91,3,6,-9,-14,78,20,15,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF72685",49,3,62,4,-1,54,63,58,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF72685",93,4,47,-2,-16,37,63,49,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF72685",82,7,50,-10,-13,51,63,60,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF72685",86,6,71,21,0,27,71,50,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF72685",45,13,55,-19,-16,69,71,74,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF72685",10,9,88,46,25,62,63,42,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF72685",55,20,34,-28,-12,35,46,62,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF72685",62,20,33,-21,-13,37,46,54,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF72685",53,52,67,-5,-13,48,80,72,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF72685",60,42,37,-37,0,44,37,74,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF72685",47,52,20,-51,0,23,20,71,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF72685",49,49,94,31,23,41,71,63,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF72685",45,57,63,-7,0,44,63,70,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF72685",50,57,46,26,17,59,29,20,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF72685",55,51,58,-7,12,36,46,65,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF72685",56,49,68,19,-12,40,80,49,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF72685",55,36,75,20,29,41,46,55,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF72685",26,36,83,18,12,47,71,65,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF72685",51,51,55,-4,1,56,54,59,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF72685",49,45,80,30,0,54,80,50,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF43781",59,41,19,-6,-1,31,20,25,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF43781",47,41,47,-21,-16,37,63,68,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF43781",44,45,50,-10,-13,28,63,60,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF43781",37,33,8,-18,-12,34,20,26,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF43781",40,30,45,4,-1,25,46,41,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF43781",44,36,58,19,12,30,46,39,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF43781",61,30,61,18,24,28,37,43,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF43781",77,18,78,19,24,32,54,59,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF43781",51,38,20,2,0,27,20,18,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF43781",53,29,35,10,15,23,20,25,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF43781",89,13,96,31,16,27,80,65,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF43781",26,67,41,-58,-13,7,54,99,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF43781",99,14,100,15,20,22,80,85,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF43781",36,23,16,-8,-13,26,29,24,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF43781",67,24,88,24,25,27,63,64,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF43781",31,33,34,-24,-12,18,46,58,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF43781",62,39,71,10,0,32,71,61,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF43781",51,33,46,17,17,29,29,29,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF43781",58,20,77,13,14,28,63,64,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF43781",42,11,38,-5,1,13,37,43,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF43781",89,6,70,1,-1,19,71,69,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF43781",68,9,63,4,0,21,63,59,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF43781",25,8,38,-15,-16,17,54,53,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF43781",69,13,94,28,23,21,71,66,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF43781",65,8,62,10,-1,9,63,52,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF43781",21,5,22,-17,-15,25,37,39,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF43781",66,3,83,19,12,12,71,64,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF43781",29,8,68,-18,-12,23,80,86,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF43781",68,14,55,6,1,20,54,49,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF43781",69,2,80,0,0,17,80,80,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF43781",66,14,46,-1,0,33,46,47,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF43781",31,6,15,-11,-14,28,29,26,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF43781",50,12,49,21,12,26,37,28,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF43781",43,9,28,-4,-1,11,29,32,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF43781",48,68,47,38,27,3,20,9,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF43781",50,17,55,-6,-16,25,71,61,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF43781",59,18,58,27,29,25,29,31,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF43781",70,7,54,-2,0,22,54,56,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF43781",50,23,33,-13,-13,17,46,46,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF43781",50,13,37,7,0,11,37,30,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF43781",19,24,56,-32,-15,13,71,88,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF43781",28,13,67,-18,-13,20,80,85,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF43781",11,8,6,-26,-14,16,20,32,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF43781",38,15,24,-10,-13,24,37,34,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF43781",35,21,81,7,1,18,80,74,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF43781",46,23,75,43,29,18,46,32,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF43781",67,1,29,-2,0,19,29,31,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF43781",65,26,66,1,12,18,54,65,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF03208",86,28,38,8,1,20,37,30,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF03208",79,23,28,-8,-1,19,29,36,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF03208",86,7,80,4,0,9,80,76,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF03208",90,5,83,10,12,6,71,73,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF03208",87,4,50,-15,-13,5,63,65,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF03208",90,4,68,-9,-12,13,80,77,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF03208",89,2,45,-30,-1,3,46,75,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF03208",93,1,47,38,27,3,20,9,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF03208",92,1,41,40,-13,42,54,1,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF03208",90,2,61,43,24,6,37,18,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF03208",87,0,33,11,-13,3,46,22,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF03208",90,0,71,21,0,1,71,50,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF03208",89,0,35,26,15,2,20,9,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF03208",100,0,94,31,23,1,71,63,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF03208",91,0,58,30,12,3,46,28,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF03208",90,1,67,-1,-13,1,80,68,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF03208",91,1,49,25,12,2,37,24,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF03208",88,1,8,-7,-12,1,20,15,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF03208",87,1,16,-21,-13,0,29,37,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF03208",85,1,22,2,-15,1,37,20,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF03208",90,1,62,41,-1,2,63,21,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF03208",92,3,96,14,16,0,80,82,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF03208",93,1,75,28,29,1,46,47,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF03208",86,1,15,-31,-14,1,29,46,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF03208",91,1,70,4,-1,1,71,66,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF03208",90,0,66,26,12,2,54,40,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF03208",92,1,100,36,20,1,80,64,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF03208",92,1,20,15,0,1,20,5,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF03208",90,1,6,0,-14,0,20,6,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF03208",87,1,63,35,0,1,63,28,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF03208",87,0,54,52,0,1,54,2,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF03208",85,1,47,-3,-16,1,63,50,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF03208",90,0,38,37,-16,0,54,1,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF03208",88,0,29,10,0,1,29,19,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF03208",90,0,56,6,-15,2,71,50,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF03208",86,1,46,15,0,1,46,31,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF03208",89,1,24,1,-13,1,37,23,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF03208",88,1,19,10,-1,1,20,9,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF03208",92,1,55,52,-16,2,71,3,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF03208",87,1,55,29,1,1,54,26,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF03208",88,1,34,8,-12,1,46,26,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF03208",88,2,46,4,17,0,29,42,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF03208",90,1,88,65,25,1,63,23,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF03208",87,0,77,36,14,2,63,41,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF03208",88,3,58,54,29,1,29,4,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF03208",90,1,81,41,1,1,80,40,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF03208",89,1,37,-5,0,2,37,42,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF03208",90,1,78,42,24,1,54,36,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF96217",42,21,50,7,-13,35,63,43,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF96217",43,31,47,12,27,34,20,35,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF96217",44,26,45,-10,-1,45,46,55,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF96217",42,22,19,-19,-1,59,20,38,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF96217",41,20,77,24,14,34,63,53,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF96217",32,14,37,11,0,66,37,26,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF96217",43,10,38,16,1,60,37,22,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF96217",39,18,61,29,24,67,37,32,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF96217",59,8,100,33,20,29,80,67,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF96217",50,23,34,-22,-12,70,46,56,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF96217",50,15,58,20,12,60,46,38,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF96217",49,22,55,-11,-16,58,71,66,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF96217",44,21,16,-18,-13,63,29,34,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF96217",65,23,88,15,25,62,63,73,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF96217",51,21,55,-17,1,60,54,72,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF96217",50,17,68,-11,-12,71,80,79,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF96217",46,12,94,14,23,77,71,80,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF96217",50,11,66,10,12,75,54,56,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF96217",43,32,96,19,16,31,80,77,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF96217",44,32,78,14,24,67,54,64,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF96217",53,25,22,-20,-15,72,37,42,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF96217",50,15,47,-5,-16,65,63,52,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF96217",39,14,62,4,-1,68,63,58,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF96217",45,17,28,-5,-1,50,29,33,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF96217",45,18,46,4,17,30,29,42,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF96217",44,14,70,-17,-1,59,71,87,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF96217",45,14,35,2,15,56,20,33,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF96217",45,16,80,0,0,77,80,80,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF96217",38,13,15,-60,-14,27,29,75,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF96217",44,14,63,22,0,24,63,41,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF96217",41,14,49,14,12,15,37,35,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF96217",54,14,29,-7,0,73,29,36,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF96217",35,27,6,-34,-14,73,20,40,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF96217",46,13,81,48,1,15,80,33,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF96217",43,13,56,-23,-15,72,71,79,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF96217",45,11,67,8,-13,55,80,59,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF96217",45,15,24,-8,-13,29,37,32,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF96217",45,12,71,-6,0,74,71,77,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF96217",41,13,41,-21,-13,50,54,62,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF96217",44,10,54,-14,0,79,54,68,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF96217",45,24,83,2,12,96,71,81,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF96217",53,13,75,-9,29,77,46,84,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF96217",48,19,58,23,29,18,29,35,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF96217",39,9,20,-16,0,11,20,36,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF96217",39,12,38,-22,-16,53,54,60,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF96217",28,13,8,-17,-12,69,20,25,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF96217",41,12,33,0,-13,71,46,33,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF96217",47,16,46,1,0,90,46,45,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF83713",0,2,58,-20,29,83,29,78,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF83713",79,1,81,49,1,37,80,32,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF83713",70,1,33,-3,-13,63,46,36,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF83713",78,0,56,-19,-15,85,71,75,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF83713",82,1,80,9,0,31,80,71,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF83713",76,1,15,-63,-14,69,29,78,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF83713",75,0,49,-18,12,10,37,67,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF83713",74,2,34,-26,-12,15,46,60,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF83713",73,1,29,-45,0,30,29,74,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF83713",72,0,50,-39,-13,79,63,89,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF83713",74,0,71,1,0,60,71,70,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF83713",74,1,22,-43,-15,20,37,65,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF83713",64,1,37,-39,0,63,37,76,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF83713",75,1,20,-56,0,57,20,76,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF83713",70,1,58,-13,12,51,46,71,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF83713",70,3,68,-2,-12,57,80,70,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF83713",76,1,46,25,17,84,29,21,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF83713",77,0,45,-6,-1,17,46,51,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF83713",67,1,28,-33,-1,25,29,61,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF83713",75,4,67,-4,-13,80,80,71,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF83713",77,1,6,-6,-14,73,20,12,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF83713",71,0,75,32,29,71,46,43,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF83713",73,0,19,-39,-1,20,20,58,"Pilot 8","Pilot 8: max feedback + text"
