"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695828376463,"27/09/2023 15:26:16",1695813976463,-4,"27/09/2023 07:26:16",144636,4,"questionnaire-wop8",NA,31900021,9432671,NA,"complete","dmjpat","39JEC753700E60QFXADN6TK7X91CVC","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","1-0","1","SUPAMT88617"
"1",1695828404887,"27/09/2023 15:26:44",1695814004887,-4,"27/09/2023 07:26:44",144636,4,"questionnaire-wop8",NA,31900036,9432772,NA,"complete","uzorbn","3LO69W1SU9COR7UQLS709B7K43RGL7","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1600x900","1600x751",NA,NA,0,"Attention Check 2 (Clone)",1,"ABJCIDHEGF","Failed AC2","Passed AC1","0-2","3","SUPAMT97320"
"1",1695828486799,"27/09/2023 15:28:06",1695814086799,-4,"27/09/2023 07:28:06",144636,4,"questionnaire-wop8",NA,31900076,9432753,NA,"complete","tmiiem","3KXIR214IAF2E5FYGLNULQB88YR42J","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1-0","1","SUPAMT40213"
"1",1695828488118,"27/09/2023 15:28:08",1695814088118,-4,"27/09/2023 07:28:08",144636,4,"questionnaire-wop8",NA,31900077,9432771,NA,"complete","rpvtpu","37TRT2X24WQM50YF2L39SL3VK1UBJJ","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1707x773",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","1-0","1","SUPAMT54803"
"1",1695850145410,"27/09/2023 21:29:05",1695835745410,-4,"27/09/2023 13:29:05",144636,4,"questionnaire-wop8",NA,31900092,9432828,NA,"complete","dkblrs","34MAJL3QPAMRZNBHKL1Z40G0ECR43U","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Failed AC2","Passed AC1","0-2","3","SUPAMT16874"
"1",1695828522767,"27/09/2023 15:28:42",1695814122767,-4,"27/09/2023 07:28:42",144636,4,"questionnaire-wop8",NA,31900097,9432749,NA,"complete","yyptyb","3LEP4MGT3MZ92EYNSPHYPN8IFHXBD5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","2049x928",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1-0","1","SUPAMT54273"
"1",1695828680681,"27/09/2023 15:31:20",1695814280681,-4,"27/09/2023 07:31:20",144636,4,"questionnaire-wop8",NA,31900162,9432754,NA,"complete","avudal","39K0FND3ANE7NYZ8Z4G5D2B66D4AMR","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","1-0","1","SUPAMT33061"
"1",1695829005637,"27/09/2023 15:36:45",1695814605637,-4,"27/09/2023 07:36:45",144636,4,"questionnaire-wop8",NA,31900404,9432831,NA,"complete","urshml","3BEFOD78WCSSL9JRQ36E0ZP6E38M4S","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1-0","1","SUPAMT43564"
"1",1695829072597,"27/09/2023 15:37:52",1695814672597,-4,"27/09/2023 07:37:52",144636,4,"questionnaire-wop8",NA,31900443,9432855,NA,"complete","zmhkod","3J2UYBXQQRB9XIGYKMCVZ0277RE06H","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1-0","1","SUPAMT01454"
"1",1695829209605,"27/09/2023 15:40:09",1695814809605,-4,"27/09/2023 07:40:09",144636,4,"questionnaire-wop8",NA,31900494,9432621,NA,"complete","uzmrjk","3H8DHMCCWFAAVH2HY2UROQR82B5KDX","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"EFDGCHBIAJ","Passed AC2","","1-0","1","SUPAMT06323"
